# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_1.data.R
# init = 2 (Default)
# random
#   seed = 1286197944 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_1.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2871.88,0.993135,0.305326,3,7,0,2872.78,355.776,5.16501,1.09483,-0.801887,1.26042,-0.793286,-0.9072,0.0856058,2.93234
-2871.51,0.995281,0.305326,2,3,0,2872.25,356.174,5.2655,1.06383,-0.7853,-0.37383,1.00065,-0.589032,0.192851,2.85315
-2872.73,0.974099,0.305326,3,7,0,2874.92,354.615,5.98716,0.589141,0.152496,-1.05065,2.29995,-1.83652,1.02291,1.79829
-2872.24,0.98713,0.305326,3,7,0,2874.05,355.201,5.0128,-0.921257,-1.46472,0.918973,1.08288,-1.35219,-5.41509,-4.26932
-2872.65,0.998171,0.305326,3,7,0,2874.5,354.172,6.00183,-0.222166,0.567543,2.61635,0.967891,-2.19093,1.20776,0.77359
-2871.43,0.996887,0.305326,3,7,0,2873.42,354.763,5.64052,0.0196237,1.7128,-1.20949,-0.353834,-1.71733,0.418477,0.968541
-2870.51,0.877504,0.305326,3,15,0,2871.95,355.463,5.0618,0.0145711,-1.42708,1.04785,0.454535,-1.15566,-0.726503,0.374875
-2871.74,0.980916,0.305326,3,15,0,2873.33,356.923,4.20951,1.07631,1.21327,-0.897896,-1.27035,0.0107961,-0.984272,2.6106
-2871.93,0.992459,0.305326,3,7,0,2872.84,357.623,3.96212,0.946426,0.481989,-0.153947,-1.44251,0.570933,-1.32672,2.02269
-2870.28,0.974238,0.305326,4,15,0,2872.64,356.661,6.22028,-1.37427,0.605175,3.04882,-0.99123,-0.214736,6.58552,-1.5899
-2871.76,0.843235,0.305326,3,11,0,2873.1,358.362,5.12069,0.928861,0.347266,-2.26385,0.879446,1.16193,0.00197975,2.4413
-2869.24,0.996508,0.305326,4,15,0,2872.12,355.906,5.84729,-2.60504,-0.974803,0.08004,-2.51432,-0.789419,-4.16605,-0.0633606
-2869.24,6.84044e-05,0.305326,2,5,0,2872.01,355.906,5.84729,-2.60504,-1.43709,-2.76576,0.583969,-0.789419,-4.16605,-0.0633606
-2869.24,0.453585,0.305326,1,3,0,2870.15,355.906,5.84729,-2.60504,-0.374063,0.549534,1.43942,-0.789419,-4.16605,-0.0633606
-2868.88,0.503111,0.305326,3,15,0,2869.97,356.364,5.87439,-3.22285,-0.828945,-0.0117388,1.37811,-0.434109,-0.107975,0.0383095
-2868.88,1.2281e-70,0.305326,1,1,0,2871.32,356.364,5.87439,-3.22285,1.69296,1.8673,0.63848,-0.434109,-0.107975,0.0383095
-2868.88,4.83312e-45,0.305326,1,1,0,2869.63,356.364,5.87439,-3.22285,-0.351152,1.28733,0.995386,-0.434109,-0.107975,0.0383095
-2869.12,0.186362,0.305326,1,3,1,2870.03,356.32,5.90263,-3.14358,-0.0492262,-2.09735,0.402397,-0.512503,15.3116,-0.343051
-2868.88,0.333333,0.305326,1,3,1,2869.01,356.421,5.86582,-3.05979,-0.349174,-0.269063,-0.370143,-0.378471,-3.81319,-0.0012536
-2868.78,0.201152,0.305326,2,5,1,2871.42,357.1,5.88163,-3.31222,1.94673,-0.415426,-1.11867,0.144444,3.60181,0.0266122
-2868.78,0,0.305326,1,1,0,2872.93,357.1,5.88163,-3.31222,1.459,-3.81435,0.626579,0.144444,3.60181,0.0266122
-2868.78,1.74214e-12,0.305326,1,1,0,2868.93,357.1,5.88163,-3.31222,-0.434396,0.254567,0.279739,0.144444,3.60181,0.0266122
-2868.78,3.00673e-175,0.305326,1,1,0,2871.58,357.1,5.88163,-3.31222,-1.14605,-1.93154,1.89996,0.144444,3.60181,0.0266122
-2868.85,0.25695,0.305326,1,2,1,2869.56,357.042,5.86299,-3.41286,-0.190998,1.80049,-0.418294,0.143736,-12.8324,-0.170652
-2868.85,0,0.305326,0,1,1,2870.56,357.042,5.86299,-3.41286,-1.14468,-0.563426,1.56822,0.143736,-12.8324,-0.170652
-2868.85,0,0.305326,0,1,1,2872.3,357.042,5.86299,-3.41286,-1.03473,3.55823,-1.04977,0.143736,-12.8324,-0.170652
-2868.85,2.54101e-244,0.305326,1,1,0,2871.71,357.042,5.86299,-3.41286,-0.417949,-3.13904,-1.52413,0.143736,-12.8324,-0.170652
