# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# start_datetime = 2022-09-16 08:52:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_3.data.R
# init = 2 (Default)
# random
#   seed = 1286198000 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_3.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_3.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,strength_post_pred
# Adaptation terminated
# Step size = 0.361486
# Diagonal elements of inverse mass matrix:
# 1.12195, 0.527609, 0.581203
-2869.13,0.987165,0.361486,3,7,0,2869.72,356.615,5.75945,0.434443,310.981
-2869.74,0.954408,0.361486,4,15,0,2870.95,357.506,6.08951,0.610736,1735.01
-2869.68,0.644192,0.361486,3,9,1,2870.24,357.763,6.00583,0.138517,442.005
-2870.21,0.0648991,0.361486,3,15,0,2871.27,358.225,6.0224,0.137808,404.354
-2870.21,1.03269e-05,0.361486,1,2,1,2873.55,358.225,6.0224,0.137808,458.965
-2869.36,0.5,0.361486,2,6,1,2871.79,357.761,5.71422,0.39206,255.11
-2869.32,0.940066,0.361486,3,15,0,2869.67,357.625,5.96649,0.247537,349.618
-2869.21,0.898398,0.361486,2,7,0,2870.4,357.183,5.64586,0.269541,314.998
-2870.06,0.92079,0.361486,3,7,0,2870.07,357.641,5.68585,0.127998,349.253
-2869.1,0.80641,0.361486,2,3,0,2870.28,357.566,5.82437,0.216188,391.189
-2869.72,0.68213,0.361486,2,5,0,2870.08,357.818,6.02852,0.176536,428.091
-2869.74,1,0.361486,2,3,0,2869.8,357.861,5.67051,0.187045,282.002
-2869.63,0.998009,0.361486,2,3,0,2869.78,357.647,6.03484,0.184503,293.475
-2869.96,0.410625,0.361486,3,15,0,2872.13,358.275,5.79725,0.551788,358.95
-2869.91,0.980588,0.361486,3,11,0,2870.86,356.765,6.17364,0.815632,577.565
-2869.19,0.839755,0.361486,3,7,0,2872.15,356.828,5.99245,0.245626,330.769
-2869.88,0.846645,0.361486,3,7,0,2870.25,356.16,6.14961,0.346092,554.22
-2869.71,0.963601,0.361486,4,15,0,2870.54,357.838,5.49152,0.377624,222.553
-2869.46,1,0.361486,3,15,0,2869.84,356.214,6.00781,0.351773,627.409
-2869.73,0.634557,0.361486,2,7,0,2872.42,357.238,5.75379,1.06148,644.474
-2869.47,0.990038,0.361486,3,7,0,2870.12,356.869,5.36263,0.471534,214.236
-2869.17,1,0.361486,3,7,0,2869.46,356.766,5.74539,0.520192,320.787
