# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_2.data.R
# init = 2 (Default)
# random
#   seed = 1286197972 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_2.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_2.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2872.76,0.84607,0.404006,3,7,0,2874.04,357.407,4.47223,-0.655191,0.452296,-2.02097,-0.116876,0.412005,-5.74305,-6.81671
-2869.36,0.651212,0.404006,3,7,0,2877,356.018,5.75794,-1.81149,1.43357,1.92712,-3.65902,-0.70173,-3.62497,-0.349552
-2869.91,0.117905,0.404006,2,5,1,2873.36,357.843,6.11068,-0.69258,-1.54452,0.935502,-2.03322,0.743766,2.03198,0.287844
-2869.16,0.997014,0.404006,3,11,0,2870.2,357.54,5.75466,-1.47488,0.521986,0.961607,1.24604,0.51054,-1.62517,-0.0676969
-2870.47,0.662782,0.404006,3,15,0,2871.39,355.752,5.42704,-1.25282,0.78325,0.347832,-1.09537,-0.911063,-5.05174,-2.16437
-2869.85,1,0.404006,1,1,0,2870.35,355.769,5.5768,-1.25361,-0.213682,-1.28777,-0.159203,-0.902706,-3.07351,-0.800424
-2871.82,0.992159,0.404006,3,7,0,2872.27,358.239,5.38819,0.987515,0.410992,-0.541885,-0.80708,1.06339,0.319787,2.65083
-2870.12,0.769287,0.404006,2,5,0,2873.32,358.153,5.57283,-1.38285,0.759627,-1.30789,2.44614,1.00798,-4.32346,-1.25785
-2870.12,0.634116,0.404006,1,3,0,2872.33,358.451,5.75043,-0.640258,-0.303514,-0.734804,-2.25633,1.23373,0.27773,0.465062
-2869.47,0.67488,0.404006,2,7,0,2871.01,357.879,5.66914,-1.00961,-1.2196,-0.176048,-1.17479,0.779293,-0.920625,0.028832
-2869.91,0.850188,0.404006,2,7,0,2872.66,356.908,5.25999,-0.89138,1.80439,1.13284,-0.749333,0.00860517,-3.41176,-1.85718
-2869.65,0.999893,0.404006,2,7,0,2870.32,357.261,5.24592,-0.629776,0.598023,0.337948,1.00517,0.287155,-1.98307,-0.877226
-2869.72,0.474352,0.404006,2,3,0,2872.27,357.24,5.64137,0.109278,0.0928249,-1.66993,-2.12287,0.264477,0.450863,1.07031
-2870.17,0.699349,0.404006,2,7,0,2872.42,358.074,5.98082,-0.218627,-1.36002,-1.28223,1.19701,0.930325,1.1358,0.788111
-2870.12,0.701059,0.404006,3,11,0,2871.1,356.061,5.56975,0.267487,-0.815761,-1.07761,-0.741522,-0.679011,0.390909,1.25207
-2869.89,0.996652,0.404006,3,7,0,2870.49,356.723,5.698,0.256749,0.630322,-0.182071,-0.905065,-0.149089,0.590905,1.27356
-2869.66,0.789273,0.404006,2,7,0,2870.27,356.829,6.10414,-0.430927,0.129295,-0.212551,-1.22754,-0.066793,1.64129,0.528035
-2869.79,0.996842,0.404006,3,7,0,2869.8,356.877,5.07374,-0.472113,0.0819928,-0.141639,0.0551302,-0.0207278,-1.99231,-1.0367
-2871.47,0.878579,0.404006,3,7,0,2874.19,355.231,5.25619,0.652805,-1.81944,-0.828265,0.91131,-1.34291,0.0890983,1.81789
-2871.21,1,0.404006,3,7,0,2871.88,355.259,4.98459,0.489446,-0.318598,1.139,0.786691,-1.32006,-0.349159,1.33496
-2869.24,0.983526,0.404006,3,7,0,2871.63,356.572,5.55261,-0.743916,-1.28129,-2.12902,0.284892,-0.266862,-0.881545,0.0106945
-2869.57,0.607603,0.404006,3,15,0,2870.14,357.579,5.33455,-0.378653,-0.796663,0.0890886,-0.603543,0.538438,-0.827262,0.0518207
